Text,Types,Tokens,Sentences,Article,Date,Category,Sentiment,anger,trust,disgust,joy,fear,sadness,anticipation
Curly-centric hair salon teaches Dominican women to love their pajn_2016-02-23_News.txt,235,400,23,Curly-centric hair salon teaches Dominican women to love their pajn,16854,News,-1,5,13,4,8,5,9,8
Customer service experiences are more important than ever in the age of e-commerce_2016-03-21_Business.txt,300,641,36,Customer service experiences are more important than ever in the age of e-commerce,16881,Business,12,3,16,3,10,3,7,19
Cyber attacks are costing companies millions of dollars  heres how they can mitigate these costs_2016-03-21_Business.txt,320,670,36,Cyber attacks are costing companies millions of dollars  heres how they can mitigate these costs,16881,Business,-3,5,20,3,11,5,4,21
Daily Cartoon  Monday March 21st_2016-03-21_News.txt,15,23,3,Daily Cartoon  Monday March 21st,16881,News,3,0,0,0,0,0,0,1
DailyChatter  U.S. and Cuba  playing ball_2016-03-21_News.txt,730,1289,74,DailyChatter  U.S. and Cuba  playing ball,16881,News,7,21,39,12,22,28,19,22
Danny Baker turns to crowdfunding to launch radio station_2016-03-21_News.txt,227,410,22,Danny Baker turns to crowdfunding to launch radio station,16881,News,-9,6,9,1,3,7,5,7
Dear Bernie Sanders supporters  Relax! If theres a revolution this is only the beginning_2016-03-21_News.txt,370,768,47,Dear Bernie Sanders supporters  Relax! If theres a revolution this is only the beginning,16881,News,16,12,26,8,12,13,10,14
Dear Donald Meet Saad_2016-03-21_News.txt,471,905,63,Dear Donald Meet Saad,16881,News,-2,13,24,2,16,15,9,9
Deep Dive  13 small-cap stocks to help you fight inflation_2016-03-21_News.txt,271,460,25,Deep Dive  13 small-cap stocks to help you fight inflation,16881,News,9,2,12,1,6,4,0,9
Deep Dive  Its Twitters birthday and its executives are getting huge stock-based gifts_2016-03-21_News.txt,346,654,44,Deep Dive  Its Twitters birthday and its executives are getting huge stock-based gifts,16881,News,10,5,14,0,7,6,6,7
Deonar fire may be sabotage  Mumbai civic chief_2016-03-21_News.txt,144,228,8,Deonar fire may be sabotage  Mumbai civic chief,16881,News,-16,4,6,3,0,6,3,1
Dismiss Ukhand govt BJP delegation asks President_2016-03-21_News.txt,90,145,7,Dismiss Ukhand govt BJP delegation asks President,16881,News,2,3,8,2,1,3,1,1
Dividends Beat Buybacks_2016-03-21_Business.txt,65,82,4,Dividends Beat Buybacks,16881,Business,3,0,2,0,2,1,0,2
DNA of Paris attacks accomplice found on explosives_2016-03-21_News.txt,341,770,31,DNA of Paris attacks accomplice found on explosives,16881,News,-20,12,11,5,4,16,7,9
Do different generations of immigrants think differently_2016-02-24_News.txt,345,618,27,Do different generations of immigrants think differently,16855,News,7,8,17,3,3,8,5,8
Do you have an old Kindle  Then you need to update it today_2016-03-21_News.txt,102,171,11,Do you have an old Kindle  Then you need to update it today,16881,News,-8,2,1,1,1,3,5,4
Doctor who denies shaken baby syndrome struck off_2016-03-21_News.txt,366,757,29,Doctor who denies shaken baby syndrome struck off,16881,News,-12,13,33,11,12,19,14,18
Documentary exposes horror of life in Saudi Arabia_2016-03-21_News.txt,730,1863,91,Documentary exposes horror of life in Saudi Arabia,16881,News,-111,53,35,30,14,53,41,23
Donald Trump praises  wonderful African-American man who stomped on protester at rally_2016-03-21_Business.txt,288,549,25,Donald Trump praises  wonderful African-American man who stomped on protester at rally,16881,Business,19,4,13,3,5,5,4,6
Donald Trumps AIPAC speech live stream  time how to watch_2016-03-21_News.txt,219,400,19,Donald Trumps AIPAC speech live stream  time how to watch,16881,News,4,3,15,0,3,3,2,10
Donald Trumps Barbarism_2016-03-08_Politics.txt,299,551,52,Donald Trumps Barbarism,16868,Politics,-14,23,13,9,4,25,13,7
Donald Trumps sister in Philadelphia receives threatening letter - CBS News_2016-03-21_News.txt,132,211,13,Donald Trumps sister in Philadelphia receives threatening letter - CBS News,16881,News,-7,3,5,1,1,5,1,8
Donald Trumps tactics are disturbingly similar to those of actual dictators_2016-03-21_News.txt,940,2373,115,Donald Trumps tactics are disturbingly similar to those of actual dictators,16881,News,-85,61,62,33,17,64,40,28
DR Congo ex-warlord faces ICC verdict_2016-03-21_News.txt,369,789,52,DR Congo ex-warlord faces ICC verdict,16881,News,-33,19,16,8,8,22,9,14
Drinking booze on a date has a very different effect on men and women_2016-03-21_Business.txt,184,333,19,Drinking booze on a date has a very different effect on men and women,16881,Business,12,2,13,1,12,1,3,8
Duke Energy Signs Deal to Turn Pig Poop Into Electricity_2016-03-21_News.txt,12,12,1,Duke Energy Signs Deal to Turn Pig Poop Into Electricity,16881,News,2,1,2,1,1,2,0,1
Earliest evidence of humans in Ireland_2016-03-21_News.txt,258,564,26,Earliest evidence of humans in Ireland,16881,News,4,4,5,5,2,8,6,6
Eating Seasonally Can Help Save The Planet And Your Wallet_2016-03-21_News.txt,310,507,39,Eating Seasonally Can Help Save The Planet And Your Wallet,16881,News,18,3,11,3,13,3,3,11
Economic Report  Existing home sales plunge 7.1  to a 3-month low in February_2016-03-21_News.txt,150,247,15,Economic Report  Existing home sales plunge 7.1  to a 3-month low in February,16881,News,6,3,6,0,2,1,2,6
Economic Report  U.S. economy ran below trend in February Chicago Fed says_2016-03-21_News.txt,62,81,6,Economic Report  U.S. economy ran below trend in February Chicago Fed says,16881,News,2,0,2,0,0,0,2,1
Editors Introduction_2016-02-11_Politics.txt,241,401,13,Editors Introduction,16842,Politics,-2,9,11,4,2,11,7,7
Egyptian police die in mortar attack_2016-03-20_News.txt,53,71,4,Egyptian police die in mortar attack,16880,News,-3,2,3,1,1,2,0,2
Eight great chocolate-free Easter toys for small children  in pictures_2016-03-21_News.txt,22,24,1,Eight great chocolate-free Easter toys for small children  in pictures,16881,News,2,0,1,0,1,0,0,2
Elegy for a website where Native voices mattered_2016-02-25_News.txt,222,385,19,Elegy for a website where Native voices mattered,16856,News,5,3,21,4,8,5,6,9
Elon Musks mother has been a successful model for 50 years heres her best diet advice_2016-03-21_Business.txt,279,509,39,Elon Musks mother has been a successful model for 50 years heres her best diet advice,16881,Business,11,1,10,3,10,4,4,8
End-of-Life Care  Serving Those Who Served Our Country_2016-03-21_News.txt,448,1028,57,End-of-Life Care  Serving Those Who Served Our Country,16881,News,20,7,24,6,15,12,16,13
Equal pay a myth and a minefield_2016-03-21_News.txt,500,1234,66,Equal pay a myth and a minefield,16881,News,53,13,20,3,16,10,7,18
ESPNs Darren Rovell thinks he knows how Twitter can make an extra $4.5 billion a year_2016-03-21_Business.txt,269,490,24,ESPNs Darren Rovell thinks he knows how Twitter can make an extra $4.5 billion a year,16881,Business,9,2,12,0,5,3,3,11
EU official optimistic about Syrias political process_2016-03-21_News.txt,353,784,33,EU official optimistic about Syrias political process,16881,News,-1,8,20,3,9,12,6,13
Existing Home Sales decreased in February to 5.08 million SAAR_2016-03-21_Business.txt,130,285,19,Existing Home Sales decreased in February to 5.08 million SAAR,16881,Business,3,0,1,1,0,1,2,0
Existing home sales plunge more than expected_2016-03-21_Business.txt,148,241,13,Existing home sales plunge more than expected,16881,Business,-7,1,2,0,1,3,3,3
Exporting Jihad_2016-03-21_News.txt,2845,10493,594,Exporting Jihad,16881,News,-123,121,163,63,90,127,109,110
Failure Is Your Friend_2016-02-13_Business.txt,96,136,13,Failure Is Your Friend,16844,Business,0,2,2,2,3,2,2,3
Fans are lining up to take selfies with wax figures of Mark Zuckerberg and Steve Jobs_2016-03-21_Business.txt,70,86,5,Fans are lining up to take selfies with wax figures of Mark Zuckerberg and Steve Jobs,16881,Business,8,0,3,0,4,0,0,2
Feds Investigate Threat Sent to Donald Trumps Sister_2016-03-21_News.txt,100,160,11,Feds Investigate Threat Sent to Donald Trumps Sister,16881,News,-10,2,1,1,0,5,1,4
Fight escalates over names of Yosemite historic sites_2016-03-21_News.txt,149,292,12,Fight escalates over names of Yosemite historic sites,16881,News,4,7,4,3,3,5,5,6
Fire Prompts Caesars Palace Hotel Evacuation on Vegas Strip_2016-03-21_News.txt,12,12,1,Fire Prompts Caesars Palace Hotel Evacuation on Vegas Strip,16881,News,2,1,2,1,1,2,0,1
First Draft  Mr. Trump Goes to Washington to Meet the Establishment_2016-03-21_Politics.txt,216,384,21,First Draft  Mr. Trump Goes to Washington to Meet the Establishment,16881,Politics,-14,7,14,6,2,6,5,9
First Step in Conservatives Supreme Court Fight  Agreeing on a Message_2016-03-21_News.txt,520,1124,48,First Step in Conservatives Supreme Court Fight  Agreeing on a Message,16881,News,0,15,37,7,11,17,8,24
Five questions facing the Redskins as the offseason continues_2016-03-21_News.txt,364,652,53,Five questions facing the Redskins as the offseason continues,16881,News,17,5,16,6,6,6,1,13
Five Simple Formulas That Capture Todays Economic Challenges and Solutions_2016-03-21_News.txt,781,2165,101,Five Simple Formulas That Capture Todays Economic Challenges and Solutions,16881,News,-9,15,47,7,15,18,20,24
FlyDubai Plane Crashes in Russia_2016-03-19_News.txt,383,789,46,FlyDubai Plane Crashes in Russia,16879,News,-31,7,19,2,6,17,15,13
For Tokyos Famed Fish Market A Dreaded Death And A Hopeful Rebirth_2016-03-21_News.txt,366,737,46,For Tokyos Famed Fish Market A Dreaded Death And A Hopeful Rebirth,16881,News,2,8,15,4,3,11,5,12
Former PCSO who raped child jailed for 11 years_2016-03-21_News.txt,212,392,17,Former PCSO who raped child jailed for 11 years,16881,News,-13,9,9,6,4,12,3,10
Found Art  Havana and Paris_2016-03-21_News.txt,162,239,17,Found Art  Havana and Paris,16881,News,-6,3,3,3,2,5,4,6
Four Reasons Why the Syria Cease-fire Wont Work_2016-02-12_Politics.txt,186,360,19,Four Reasons Why the Syria Cease-fire Wont Work,16843,Politics,-7,7,15,3,2,8,2,6
Futures are almost flat SPY SPX DJI IXIC USO WTI OIL VDE_2016-03-21_Business.txt,721,1641,109,Futures are almost flat SPY SPX DJI IXIC USO WTI OIL VDE,16881,Business,38,7,25,5,15,9,10,27
Gatorade is developing a smart cap that keeps track of hydration_2016-03-21_Business.txt,178,294,13,Gatorade is developing a smart cap that keeps track of hydration,16881,Business,7,1,6,0,0,1,0,3
George Will tells Fox News the GOP should nominate Merrick Garland because God only knows who Trump might put on the Court_2016-03-21_News.txt,145,239,7,George Will tells Fox News the GOP should nominate Merrick Garland because God only knows who Trump might put on the Court,16881,News,13,2,10,0,1,2,1,2
Get $100 off an Apple Watch  and more of todays best deals from around the web_2016-03-21_Business.txt,344,691,51,Get $100 off an Apple Watch  and more of todays best deals from around the web,16881,Business,46,3,18,2,9,4,4,13
Get ready to see more video ads on Pinterest_2016-03-21_Business.txt,415,853,49,Get ready to see more video ads on Pinterest,16881,Business,28,3,20,1,12,3,3,19
Girls is rabidly sexist  why wont Lena Dunham follow her own language rules _2016-03-21_News.txt,359,686,37,Girls is rabidly sexist  why wont Lena Dunham follow her own language rules ,16881,News,-27,14,17,10,9,11,8,8
GIRLS Recap   Queen For Two Days _2016-03-21_News.txt,406,865,50,GIRLS Recap   Queen For Two Days ,16881,News,-30,12,26,6,15,15,13,17
Global warming taking place at an alarming rate UN climate body warns_2016-03-21_News.txt,284,566,28,Global warming taking place at an alarming rate UN climate body warns,16881,News,-9,6,11,4,2,14,7,8
Goldman Sachs contributions surge despite attacks_2016-01-20_Politics.txt,564,1231,59,Goldman Sachs contributions surge despite attacks,16820,Politics,36,7,34,4,12,13,6,21
Google Glass Enterprise Version Spotted on eBay_2016-03-21_Business.txt,220,432,23,Google Glass Enterprise Version Spotted on eBay,16881,Business,14,2,10,1,3,1,2,6
GOP establishment faces a huge decision_2016-03-21_Politics.txt,542,1193,84,GOP establishment faces a huge decision,16881,Politics,16,11,29,3,7,9,9,13
Got a name for two baby bald eagles at the National Arboretum  Suggestions will be welcome._2016-03-21_News.txt,273,623,42,Got a name for two baby bald eagles at the National Arboretum  Suggestions will be welcome.,16881,News,19,2,13,2,8,2,4,10
Governments are spending billions every year to encourage overfishing_2016-03-21_News.txt,424,945,60,Governments are spending billions every year to encourage overfishing,16881,News,-4,9,22,12,7,13,15,13
Guerrilla Marketing  How Cubans Work Around a National Ban on Advertising_2016-03-21_Business.txt,963,2108,97,Guerrilla Marketing  How Cubans Work Around a National Ban on Advertising,16881,Business,7,14,47,10,17,23,18,30
Happy Days Star Endorses Donald Trump for President_2016-03-21_News.txt,157,245,14,Happy Days Star Endorses Donald Trump for President,16881,News,7,2,8,0,2,1,0,3
Hatton Garden guvnor Brian Reader jailed for six years and three months_2016-03-21_News.txt,365,719,28,Hatton Garden guvnor Brian Reader jailed for six years and three months,16881,News,-24,16,16,10,11,22,11,15
Hawaii Struggles to Keep Rail Project From Becoming a Boondoggle_2016-03-21_News.txt,488,1118,70,Hawaii Struggles to Keep Rail Project From Becoming a Boondoggle,16881,News,10,12,29,5,18,10,13,22
Heaton replaces Hart in England squad_2016-03-21_News.txt,172,270,15,Heaton replaces Hart in England squad,16881,News,4,2,5,1,1,2,3,1
Help NIA identify these Pathankot attackers_2016-03-21_News.txt,68,91,4,Help NIA identify these Pathankot attackers,16881,News,-5,3,3,0,2,5,0,2
Help With Student Loans Is the Hot New Employee Benefit_2016-03-21_Business.txt,370,818,53,Help With Student Loans Is the Hot New Employee Benefit,16881,Business,33,4,22,2,14,3,5,14
Heres a super quick guide to what traders are talking about right now_2016-03-21_Business.txt,234,363,21,Heres a super quick guide to what traders are talking about right now,16881,Business,7,1,11,1,3,0,4,6
Heres everything you need to know about the new iPhone that Apple is expected to announce today_2016-03-21_Business.txt,241,446,22,Heres everything you need to know about the new iPhone that Apple is expected to announce today,16881,Business,10,2,12,1,3,7,5,11
Heres how Apple shares do right after the new iPhone launches AAPL_2016-03-21_Business.txt,126,218,15,Heres how Apple shares do right after the new iPhone launches AAPL,16881,Business,6,1,3,0,3,2,2,5
Heres How Twitter Reacted to The Passion_2016-03-21_News.txt,0,0,0,Heres How Twitter Reacted to The Passion,16881,News,0,0,0,0,0,0,0,0
Heres the eye-opening data behind Trumps rapid rise in the race this year_2016-03-21_Business.txt,48,56,5,Heres the eye-opening data behind Trumps rapid rise in the race this year,16881,Business,0,0,5,0,2,0,0,2
Hide Your Kids Because The New Season Of American Horror Story Is Going Juvenile_2016-03-21_News.txt,316,536,28,Hide Your Kids Because The New Season Of American Horror Story Is Going Juvenile,16881,News,19,6,13,3,14,7,7,16
High court rejects appeal over ban on guns at post offices_2016-03-21 2_News.txt,96,131,6,High court rejects appeal over ban on guns at post offices,16881,News,-6,5,1,0,0,7,2,3
High Court Rejects Appeal Over Ban on Guns at Post Offices_2016-03-21_News.txt,12,12,1,High Court Rejects Appeal Over Ban on Guns at Post Offices,16881,News,2,1,2,1,1,2,0,1
High court rejects Ohios appeal in case of police official_2016-03-21_News.txt,258,509,30,High court rejects Ohios appeal in case of police official,16881,News,-23,12,12,4,0,13,6,7
High court wont hear dispute over Oklahoma license plate_2016-03-21_News.txt,85,124,6,High court wont hear dispute over Oklahoma license plate,16881,News,2,6,2,2,1,7,2,2
Hilary Duff And Ex Mike Comrie Put Aside Differences For Sons Birthday_2016-03-21_News.txt,45,51,5,Hilary Duff And Ex Mike Comrie Put Aside Differences For Sons Birthday,16881,News,11,0,2,1,4,0,0,3
Hillary Clinton on Donald Trump  Israels security is non-negotiable - CNN_2016-03-21_News.txt,615,1534,61,Hillary Clinton on Donald Trump  Israels security is non-negotiable - CNN,16881,News,-6,26,38,12,13,28,17,24
Hillary Clinton speaks at Aipac conference  campaign live_2016-03-21_News.txt,246,438,22,Hillary Clinton speaks at Aipac conference  campaign live,16881,News,0,6,15,4,6,9,4,8
Hillary Clinton suddenly moved a fund-raiser away from Theranos headquarters_2016-03-21_Business.txt,312,603,33,Hillary Clinton suddenly moved a fund-raiser away from Theranos headquarters,16881,Business,-4,6,16,2,5,8,8,10
Hollywood Divided Over Movie Streaming Service_2016-03-21_News.txt,422,775,46,Hollywood Divided Over Movie Streaming Service,16881,News,15,9,21,6,13,13,7,26
Home of the Day  Sophisticated new home debuts above Sunset Boulevard_2016-03-21_News.txt,190,273,15,Home of the Day  Sophisticated new home debuts above Sunset Boulevard,16881,News,7,0,3,0,4,2,0,5
Home Sales Tumble_2016-03-21_News.txt,31,31,2,Home Sales Tumble,16881,News,2,0,0,0,0,1,0,1
Hope and Change Canadian Style_2016-03-11_Politics.txt,285,545,31,Hope and Change Canadian Style,16871,Politics,18,9,12,5,10,9,5,8
Hotspotting pinpoints low-income areas that need health care the most_2016-02-25_News.txt,359,765,40,Hotspotting pinpoints low-income areas that need health care the most,16856,News,18,1,24,1,14,8,5,18
How Can This Possibly Be True _2016-02-18_Business.txt,1656,6638,461,How Can This Possibly Be True ,16849,Business,73,36,86,21,52,37,44,61
How Can Trump Win This Fall  Destroy Clinton His Past Adviser Says_2016-03-21_News.txt,231,382,25,How Can Trump Win This Fall  Destroy Clinton His Past Adviser Says,16881,News,3,10,17,5,10,7,7,8
How Clinton plans to bounce back in New Hampshire_2016-02-03_Politics.txt,520,1102,45,How Clinton plans to bounce back in New Hampshire,16834,Politics,13,14,33,8,15,14,12,24
How Giphy Became the Internets Go-To Gif Brand_2016-03-21_Business.txt,1125,3374,242,How Giphy Became the Internets Go-To Gif Brand,16881,Business,70,17,51,11,28,17,18,44
How Jack Dorsey and Ev Williams Made Twitter a Haven for Fellow Introverts_2016-03-21_Business.txt,221,357,21,How Jack Dorsey and Ev Williams Made Twitter a Haven for Fellow Introverts,16881,Business,17,5,11,2,8,3,4,9
How long would the US military last in a war against the rest of the world _2016-03-21_Business.txt,334,648,37,How long would the US military last in a war against the rest of the world ,16881,Business,-24,13,12,6,1,23,8,5
How plausible is John le Carrs The Night Manager _2016-03-21_News.txt,312,515,25,How plausible is John le Carrs The Night Manager ,16881,News,-18,13,17,9,5,13,9,6
How Saudi Arabia captured Washington_2016-03-21_News.txt,1764,6687,293,How Saudi Arabia captured Washington,16881,News,35,46,116,25,46,55,28,63
How Texas A M completed the greatest comeback in NCAA Tournament history in 44 seconds_2016-03-21_Business.txt,75,113,7,How Texas A M completed the greatest comeback in NCAA Tournament history in 44 seconds,16881,Business,0,4,1,1,3,6,3,4
How the Founder of GoldieBlox Overcame the Biggest Rejection of Her Life_2016-03-21_Business.txt,37,43,3,How the Founder of GoldieBlox Overcame the Biggest Rejection of Her Life,16881,Business,-1,2,1,1,2,1,1,2
How This Growth Expert Drives Sales by Being a Good Writer_2016-03-21_Business.txt,285,545,33,How This Growth Expert Drives Sales by Being a Good Writer,16881,Business,40,1,14,0,8,1,1,10
How to find a flying squirrel  Citizen scientists are enlisted to help scientists._2016-03-21_News.txt,612,1331,58,How to find a flying squirrel  Citizen scientists are enlisted to help scientists.,16881,News,46,7,39,4,17,12,5,26
How to Fix a Broken High-Schooler in Four Easy Steps_2016-02-04_Business.txt,1083,4352,223,How to Fix a Broken High-Schooler in Four Easy Steps,16835,Business,56,17,55,11,38,26,26,44
How to Save $1 Billion Without Even Trying_2016-03-04_Business.txt,96,133,11,How to Save $1 Billion Without Even Trying,16864,Business,4,2,4,0,2,1,0,4
How to Teach Your Kids to Spot a Lie_2016-03-21_News.txt,208,407,26,How to Teach Your Kids to Spot a Lie,16881,News,7,4,14,2,9,5,6,9
How Trump confounds confuses and intrigues political scientists_2016-01-31_Politics.txt,576,1320,55,How Trump confounds confuses and intrigues political scientists,16831,Politics,-1,8,29,2,13,11,10,26
How Trump Happened_2016-03-13_Politics.txt,998,2479,114,How Trump Happened,16873,Politics,10,31,45,13,14,35,25,26
How Unity is pushing VR and better 3D graphics with its game engine_2016-03-21_Business.txt,623,1896,137,How Unity is pushing VR and better 3D graphics with its game engine,16881,Business,58,8,30,4,16,6,3,25
How will Eddie Izzard recover from 27 marathons _2016-03-21_News.txt,492,1010,60,How will Eddie Izzard recover from 27 marathons ,16881,News,7,8,22,7,11,13,12,20
I didnt care about video games until I tried this amazing VR headset_2016-03-21_Business.txt,496,1003,67,I didnt care about video games until I tried this amazing VR headset,16881,Business,-2,9,12,3,7,11,11,13
I Dont Know What Youve Done With My Husband But Hes A Changed Man_2016-03-18_Business.txt,128,158,8,I Dont Know What Youve Done With My Husband But Hes A Changed Man,16878,Business,-5,5,4,2,3,4,2,4
I helped create Trump the politician. Now I bitterly regret it   Christopher R Barron_2016-03-21_News.txt,0,0,0,I helped create Trump the politician. Now I bitterly regret it   Christopher R Barron,16881,News,0,0,0,0,0,0,0,0
I need to escape from the planet of the apps   Bella Mackie_2016-03-21_News.txt,0,0,0,I need to escape from the planet of the apps   Bella Mackie,16881,News,0,0,0,0,0,0,0,0
Ian Wright obituary_2016-03-21_News.txt,740,1661,74,Ian Wright obituary,16881,News,23,8,45,8,17,17,10,25
IBMs Top Researcher  A Win for Computers Is a Win for Humans_2016-03-21_News.txt,447,812,42,IBMs Top Researcher  A Win for Computers Is a Win for Humans,16881,News,38,11,24,8,12,17,16,20
ICC convicts Congolese politician on Central African war crimes_2016-03-21_News.txt,176,310,14,ICC convicts Congolese politician on Central African war crimes,16881,News,-20,8,8,4,6,13,6,6
ICC finds ex-Congolese vice-president Jean-Pierre Bemba guilty of war crimes_2016-03-21_News.txt,413,890,38,ICC finds ex-Congolese vice-president Jean-Pierre Bemba guilty of war crimes,16881,News,-29,20,19,4,9,27,11,10
If Hillary Clinton becomes president what kind of first lady will Bill Clinton be _2016-03-21_News.txt,562,1202,52,If Hillary Clinton becomes president what kind of first lady will Bill Clinton be ,16881,News,24,12,39,4,19,9,6,23
IHS and Markit Providers of Data and Analytics Agree to Merge_2016-03-21_Business.txt,218,372,19,IHS and Markit Providers of Data and Analytics Agree to Merge,16881,Business,7,2,15,3,4,7,4,5
IHS to buy data provider Markit_2016-03-21_News.txt,276,519,27,IHS to buy data provider Markit,16881,News,1,6,15,1,7,5,7,12
Illicit drugs  How Brexit risks legal limbo for medicines_2016-03-21_News.txt,283,544,24,Illicit drugs  How Brexit risks legal limbo for medicines,16881,News,-1,5,11,2,4,8,5,10
Imaginary Spaces_2016-03-21_News.txt,2025,6467,365,Imaginary Spaces,16881,News,55,51,89,25,60,67,61,62
In Alabama taxis fill a transportation void_2016-02-24_News.txt,280,531,32,In Alabama taxis fill a transportation void,16855,News,-12,1,16,2,4,4,7,9
In Cuba President Obama Is Welcomed By President Ral Castro_2016-03-21_News.txt,363,783,46,In Cuba President Obama Is Welcomed By President Ral Castro,16881,News,12,7,23,3,10,11,9,13
In DRC armed groups dwindle but still aggravate troubled region_2016-02-24_News.txt,278,534,28,In DRC armed groups dwindle but still aggravate troubled region,16855,News,16,7,16,3,9,12,5,9
In Guatemala shifts in health care strand communities_2016-02-25_News.txt,327,594,31,In Guatemala shifts in health care strand communities,16856,News,4,1,17,1,10,8,7,12
In One Chart  Heres why this 5-week stock-market rally looks familiar_2016-03-21_News.txt,206,352,16,In One Chart  Heres why this 5-week stock-market rally looks familiar,16881,News,5,3,5,2,1,2,3,2
In Rwanda female ex-combatants face reintegration challenge_2016-02-25_News.txt,370,824,50,In Rwanda female ex-combatants face reintegration challenge,16856,News,-31,11,17,0,8,19,9,9
In Their Own Words  Down Syndrome Across the World_2016-03-19_Politics.txt,309,673,46,In Their Own Words  Down Syndrome Across the World,16879,Politics,25,3,18,3,13,6,6,16
Inaccurate sentencing condemns prisoners to serve longer than is lawful_2016-02-24_News.txt,646,1635,87,Inaccurate sentencing condemns prisoners to serve longer than is lawful,16855,News,-19,14,41,7,14,22,16,28
Indie Puzzle Game Hue Is Unfinished but Still Highly Addictive_2016-03-21_News.txt,611,1658,90,Indie Puzzle Game Hue Is Unfinished but Still Highly Addictive,16881,News,41,11,28,3,20,15,10,23
Indonesia Summons Chinas Envoy Amid Tussle Over Fishing Boat_2016-03-21_News.txt,451,1055,42,Indonesia Summons Chinas Envoy Amid Tussle Over Fishing Boat,16881,News,-19,15,25,4,3,15,4,12
Indonesian military helicopter crashes_2016-03-20_News.txt,85,138,11,Indonesian military helicopter crashes,16880,News,-5,4,6,1,0,9,4,4
Infibeam Plans to Raise as Much as $81 Million in E-Commerce IPO_2016-03-21_Business.txt,160,248,12,Infibeam Plans to Raise as Much as $81 Million in E-Commerce IPO,16881,Business,2,1,3,0,1,1,0,5
Infographic  Timeline of the US-Cuba relationship_2016-03-21_News.txt,19,25,2,Infographic  Timeline of the US-Cuba relationship,16881,News,0,0,0,0,0,0,0,0
Inside Asia  China Sought Feds Crash Notes_2016-03-21_Business.txt,461,1038,44,Inside Asia  China Sought Feds Crash Notes,16881,Business,19,5,33,6,8,12,8,18
Inside the Carson campaign meltdown_2016-01-22_Politics.txt,744,1837,93,Inside the Carson campaign meltdown,16822,Politics,0,21,45,12,21,24,17,33
Inside the Miracle  An Interview With Mark Nepo_2016-03-21_News.txt,694,2043,121,Inside the Miracle  An Interview With Mark Nepo,16881,News,-9,15,34,10,24,30,24,32
INSIDER is hiring a rockstar Social Operations Manager_2016-03-21_Business.txt,150,260,15,INSIDER is hiring a rockstar Social Operations Manager,16881,Business,32,0,14,0,6,1,1,11
Inspiration Emulation and Diversification at the 2016 Game Developers Conference_2016-03-21_News.txt,561,1077,47,Inspiration Emulation and Diversification at the 2016 Game Developers Conference,16881,News,35,8,25,2,11,13,10,20
Instagrams got a new way to determine which photos show up in your feed  heres how it works_2016-03-21_Business.txt,252,588,30,Instagrams got a new way to determine which photos show up in your feed  heres how it works,16881,Business,24,0,7,1,3,1,2,5
Interiors_2016-03-21_News.txt,804,1992,88,Interiors,16881,News,-36,23,28,9,18,39,27,27
International court convicts Congolese ex-vice president Bemba of murder rape pillage_2016-03-21 2_News.txt,13,13,2,International court convicts Congolese ex-vice president Bemba of murder rape pillage,16881,News,-4,0,0,0,0,1,3,0
International Court Convicts Congolese Ex-Vice President Bemba of Murder Rape Pillage_2016-03-21_News.txt,12,12,1,International Court Convicts Congolese Ex-Vice President Bemba of Murder Rape Pillage,16881,News,2,1,2,1,1,2,0,1
Iran-backed militia says it will deal with US Marines in Iraq as forces of occupation_2016-03-21_Business.txt,93,147,7,Iran-backed militia says it will deal with US Marines in Iraq as forces of occupation,16881,Business,-1,5,3,1,2,3,3,5
Is Americas Education Problem Really Just a Teacher Problem _2016-01-28_Business.txt,1386,6016,333,Is Americas Education Problem Really Just a Teacher Problem ,16828,Business,104,30,98,18,51,32,35,57
Is Americas Education Problem Really Just a Teacher Problem _2016-02-05_Business.txt,84,117,9,Is Americas Education Problem Really Just a Teacher Problem ,16836,Business,4,3,4,0,3,4,3,6
Is Donald Trump Broke _2016-03-21_News.txt,226,377,16,Is Donald Trump Broke ,16881,News,3,3,14,0,8,12,8,11
Is Soundcloud #8217 s Sony Deal Too Little Too Late _2016-03-21_Business.txt,328,676,26,Is Soundcloud #8217 s Sony Deal Too Little Too Late ,16881,Business,22,4,18,3,13,6,6,17
Israel is occupation-addicted  Israeli journalist Gideon Levy blasts U.S. support for apartheid   rise of fascism_2016-03-21_News.txt,528,1148,63,Israel is occupation-addicted  Israeli journalist Gideon Levy blasts U.S. support for apartheid   rise of fascism,16881,News,-55,17,29,8,11,25,18,16
Its a big dumb thing that only gets more expensive over time  John Oliver punctures Donald Trumps one serious policy proposal_2016-03-21_News.txt,128,212,8,Its a big dumb thing that only gets more expensive over time  John Oliver punctures Donald Trumps one serious policy proposal,16881,News,3,3,3,3,2,1,3,2
Its the Devil. Okay  Alex Jones warns listeners not to be creepy   angry  then raves about alien invasion_2016-03-21_News.txt,277,519,30,Its the Devil. Okay  Alex Jones warns listeners not to be creepy   angry  then raves about alien invasion,16881,News,-19,13,8,9,3,15,9,6
Ivanka Trump shares what her dad taught her about being an inspiring leader_2016-03-21_Business.txt,135,236,15,Ivanka Trump shares what her dad taught her about being an inspiring leader,16881,Business,23,0,9,0,5,1,0,5
Jack Dorsey on how live streaming a puddle reveals Twitters past and future_2016-03-21_Business.txt,318,766,40,Jack Dorsey on how live streaming a puddle reveals Twitters past and future,16881,Business,27,3,8,1,5,2,2,11
