"","Text","Types","Tokens","Sentences","Article","Date","Category","Trump","Clinton","Cruz","Sanders","Kasich","Sentiment"
"Amy Schumer Had Tilda Swintons Boyfriend Paint Her Stuffed Animals_2016-04-13_News.txt","Amy Schumer Had Tilda Swintons Boyfriend Paint Her Stuffed Animals_2016-04-13_News.txt",100,139,6,"Amy Schumer Had Tilda Swintons Boyfriend Paint Her Stuffed Animals",2016-04-13,"News",0,0,0,0,0,1
"An Australian 60 Minutes TV Crew Has Been Charged With Kidnapping in Lebanon_2016-04-13_News.txt","An Australian 60 Minutes TV Crew Has Been Charged With Kidnapping in Lebanon_2016-04-13_News.txt",144,228,11,"An Australian 60 Minutes TV Crew Has Been Charged With Kidnapping in Lebanon",2016-04-13,"News",0,0,0,0,0,-30
"An Immortalized Lovey for Valentines Day_2016-01-28_Cooking.txt","An Immortalized Lovey for Valentines Day_2016-01-28_Cooking.txt",371,683,49,"An Immortalized Lovey for Valentines Day",2016-01-28,"Cooking",0,0,0,0,0,21
"An Inconvenient Truth  Liberal Climate Inquisition Cant Explain Past Temperature Changes _2016-05-02_Politics.txt","An Inconvenient Truth  Liberal Climate Inquisition Cant Explain Past Temperature Changes _2016-05-02_Politics.txt",43,48,3,"An Inconvenient Truth  Liberal Climate Inquisition Cant Explain Past Temperature Changes ",2016-05-02,"Politics",0,0,0,0,0,3
"An insider's guide to Gothenburg  unspoiled green spaces and steel guitars_2016-04-18_news.txt","An insider's guide to Gothenburg  unspoiled green spaces and steel guitars_2016-04-18_news.txt",400,720,56,"An insider's guide to Gothenburg  unspoiled green spaces and steel guitars",2016-04-18,"news",0,0,0,0,0,39
"An Uber for everything  the surge in on-demand apps _2016-5-03_News.txt","An Uber for everything  the surge in on-demand apps _2016-5-03_News.txt",810,1955,113,"An Uber for everything  the surge in on-demand apps ",2016-05-03,"News",0,0,0,0,0,12
"Analysis  N.C.A.A. Favorites End a Few Charmed Runs_2016-03-21_News.txt","Analysis  N.C.A.A. Favorites End a Few Charmed Runs_2016-03-21_News.txt",546,1100,61,"Analysis  N.C.A.A. Favorites End a Few Charmed Runs",2016-03-21,"News",0,0,0,0,0,-1
"Anatomy of a Weeknight Dinner_2016-01-12_Cooking.txt","Anatomy of a Weeknight Dinner_2016-01-12_Cooking.txt",240,466,57,"Anatomy of a Weeknight Dinner",2016-01-12,"Cooking",0,0,0,0,0,7
"Angels' Johnny Giavotella  'The hits just aren't coming'_2016-04-17_news.txt","Angels' Johnny Giavotella  'The hits just aren't coming'_2016-04-17_news.txt",246,409,27,"Angels' Johnny Giavotella  'The hits just aren't coming'",2016-04-17,"news",0,0,0,0,0,-4
"Angola cut spending for low oil prices and triggered a yellow fever health crisis_2016-03-21_News.txt","Angola cut spending for low oil prices and triggered a yellow fever health crisis_2016-03-21_News.txt",222,375,16,"Angola cut spending for low oil prices and triggered a yellow fever health crisis",2016-03-21,"News",0,0,0,0,0,-12
"Angry Chinese construction workers duel with bulldozers_2016-04-18_news.txt","Angry Chinese construction workers duel with bulldozers_2016-04-18_news.txt",148,186,10,"Angry Chinese construction workers duel with bulldozers",2016-04-18,"news",0,0,0,0,0,-3
"Anita Hill, Reluctant Hero_2016-04-17_Politics.txt","Anita Hill, Reluctant Hero_2016-04-17_Politics.txt",309,497,22,"Anita Hill, Reluctant Hero",2016-04-17,"Politics",0,0,0,0,0,4
"Anna Wintour and the early arrivals at the Met Gala _2016-5-02_News.txt","Anna Wintour and the early arrivals at the Met Gala _2016-5-02_News.txt",49,67,4,"Anna Wintour and the early arrivals at the Met Gala ",2016-05-02,"News",0,0,0,0,0,6
"Another Kind of Publishing_2016-04-18_Politics.txt","Another Kind of Publishing_2016-04-18_Politics.txt",270,485,16,"Another Kind of Publishing",2016-04-18,"Politics",0,0,0,0,0,-7
"Ansel Adams at the Grand Canyon_2016-02-25_News.txt","Ansel Adams at the Grand Canyon_2016-02-25_News.txt",57,71,4,"Ansel Adams at the Grand Canyon",2016-02-25,"News",0,0,0,0,0,10
"Anti-Trump forces start eyeing possible third_2016-03-21_Politics.txt","Anti-Trump forces start eyeing possible third_2016-03-21_Politics.txt",274,496,21,"Anti-Trump forces start eyeing possible third",2016-03-21,"Politics",1,0,0,0,0,17
"Anti-Trump protester charged with trashing CHP cruiser, urging others to vandalize _2016-5-02_News.txt","Anti-Trump protester charged with trashing CHP cruiser, urging others to vandalize _2016-5-02_News.txt",226,345,22,"Anti-Trump protester charged with trashing CHP cruiser, urging others to vandalize ",2016-05-02,"News",1,0,0,0,0,-34
"AP Interview  Fasel worried NHL players will skip 2018 Games _2016-5-03_News.txt","AP Interview  Fasel worried NHL players will skip 2018 Games _2016-5-03_News.txt",347,849,38,"AP Interview  Fasel worried NHL players will skip 2018 Games ",2016-05-03,"News",0,0,0,0,0,20
"AP PHOTOS  Ecuador's biggest quake in decades kills over 240_2016-04-18_news.txt","AP PHOTOS  Ecuador's biggest quake in decades kills over 240_2016-04-18_news.txt",134,220,9,"AP PHOTOS  Ecuador's biggest quake in decades kills over 240",2016-04-18,"news",0,0,0,0,0,-21
"AP-GfK Poll  Republicans not itching for a convention fight_2016-04-13_News.txt","AP-GfK Poll  Republicans not itching for a convention fight_2016-04-13_News.txt",290,694,44,"AP-GfK Poll  Republicans not itching for a convention fight",2016-04-13,"News",1,1,1,1,1,12
"APNewsBreak  Cruise Lines Say City Misused Passenger Fees_2016-04-13_News.txt","APNewsBreak  Cruise Lines Say City Misused Passenger Fees_2016-04-13_News.txt",225,440,22,"APNewsBreak  Cruise Lines Say City Misused Passenger Fees",2016-04-13,"News",0,0,0,0,0,-2
"APNewsBreak  Navy Flyer Describes Spotting Island Castaways_2016-04-13_News.txt","APNewsBreak  Navy Flyer Describes Spotting Island Castaways_2016-04-13_News.txt",275,584,33,"APNewsBreak  Navy Flyer Describes Spotting Island Castaways",2016-04-13,"News",0,0,0,0,0,0
"APPLE Historic Losing Streak... _2016-5-03_News.txt","APPLE Historic Losing Streak... _2016-5-03_News.txt",0,0,0,"APPLE Historic Losing Streak... ",2016-05-03,"News",0,0,0,0,0,0
"Apple iPhone event live updates  What were expecting to be revealed_2016-03-21_News.txt","Apple iPhone event live updates  What were expecting to be revealed_2016-03-21_News.txt",66,91,6,"Apple iPhone event live updates  What were expecting to be revealed",2016-03-21,"News",0,0,0,0,0,1
"Apple starts a busy week with new iPhone launch_2016-03-21_News.txt","Apple starts a busy week with new iPhone launch_2016-03-21_News.txt",372,801,35,"Apple starts a busy week with new iPhone launch",2016-03-21,"News",0,0,0,0,0,23
"Apple suffers longest losing streak since iMacs debut _2016-5-02_News.txt","Apple suffers longest losing streak since iMacs debut _2016-5-02_News.txt",222,358,18,"Apple suffers longest losing streak since iMacs debut ",2016-05-02,"News",0,0,0,0,0,-13
"Apple's Tim Cook jabs back at investor concerns about China _2016-5-02_News.txt","Apple's Tim Cook jabs back at investor concerns about China _2016-5-02_News.txt",236,398,25,"Apple's Tim Cook jabs back at investor concerns about China ",2016-05-02,"News",0,0,0,0,0,15
"Apples stock is on its worst slide in nearly two decades _2016-5-02_News.txt","Apples stock is on its worst slide in nearly two decades _2016-5-02_News.txt",158,277,11,"Apples stock is on its worst slide in nearly two decades ",2016-05-02,"News",0,0,0,0,0,-2
"Apricot Balsamic Chicken_2016-03-01_Cooking.txt","Apricot Balsamic Chicken_2016-03-01_Cooking.txt",241,451,39,"Apricot Balsamic Chicken",2016-03-01,"Cooking",0,0,0,0,0,23
"apricot hazelnut brown butter hamantaschen_2016-03-18_Cooking.txt","apricot hazelnut brown butter hamantaschen_2016-03-18_Cooking.txt",571,1379,103,"apricot hazelnut brown butter hamantaschen",2016-03-18,"Cooking",0,0,0,0,0,19
"April Is Confederate Heritage Month In Mississippi. Heres What State Educators Are Saying About It._2016-03-21_Politics.txt","April Is Confederate Heritage Month In Mississippi. Heres What State Educators Are Saying About It._2016-03-21_Politics.txt",636,1819,74,"April Is Confederate Heritage Month In Mississippi. Heres What State Educators Are Saying About It.",2016-03-21,"Politics",0,0,0,0,0,-1
"Arabic-speaking man kicked off flight_2016-04-17_news.txt","Arabic-speaking man kicked off flight_2016-04-17_news.txt",389,911,65,"Arabic-speaking man kicked off flight",2016-04-17,"news",0,0,0,0,0,-5
"Architect of bin Laden raid  The anxious moments _2016-05-02_Politics.txt","Architect of bin Laden raid  The anxious moments _2016-05-02_Politics.txt",922,3208,178,"Architect of bin Laden raid  The anxious moments ",2016-05-02,"Politics",0,0,0,0,0,-6
"Are Humans Definitely Smarter Than Apes _2016-04-18_news.txt","Are Humans Definitely Smarter Than Apes _2016-04-18_news.txt",690,1574,78,"Are Humans Definitely Smarter Than Apes ",2016-04-18,"news",0,0,0,0,0,18
"Are my emotions giving me migraines _2016-04-18_news.txt","Are my emotions giving me migraines _2016-04-18_news.txt",254,454,29,"Are my emotions giving me migraines ",2016-04-18,"news",0,0,0,0,0,-5
"Are you an independent voter  You aren't if you checked this box_2016-04-18_news.txt","Are you an independent voter  You aren't if you checked this box_2016-04-18_news.txt",550,1322,74,"Are you an independent voter  You aren't if you checked this box",2016-04-18,"news",0,1,1,1,0,3
"Are you taking part in today's 'kids' strike over Sats changes  _2016-5-03_News.txt","Are you taking part in today's 'kids' strike over Sats changes  _2016-5-03_News.txt",127,174,9,"Are you taking part in today's 'kids' strike over Sats changes  ",2016-05-03,"News",0,0,0,0,0,-11
"Are Young People Really More Open to Polyamory or Do We Just Like to Cheat _2016-04-11_News.txt","Are Young People Really More Open to Polyamory or Do We Just Like to Cheat _2016-04-11_News.txt",521,1372,76,"Are Young People Really More Open to Polyamory or Do We Just Like to Cheat ",2016-04-11,"News",0,0,0,0,0,4
"Armed Texas good Samaritan shot dead in front of wife attempting citizen's arrest of fleeing gunman - New York Daily News _2016-5-02_News.txt","Armed Texas good Samaritan shot dead in front of wife attempting citizen's arrest of fleeing gunman - New York Daily News _2016-5-02_News.txt",170,399,25,"Armed Texas good Samaritan shot dead in front of wife attempting citizen's arrest of fleeing gunman - New York Daily News ",2016-05-02,"News",0,0,0,0,0,-16
"Arroz con pollo  Spanish Chicken with rice_2016-01-28_Cooking.txt","Arroz con pollo  Spanish Chicken with rice_2016-01-28_Cooking.txt",386,839,39,"Arroz con pollo  Spanish Chicken with rice",2016-01-28,"Cooking",0,0,0,0,0,35
"Artichoke salad with chickpeas watercress and almonds_2016-02-16_Cooking.txt","Artichoke salad with chickpeas watercress and almonds_2016-02-16_Cooking.txt",79,108,4,"Artichoke salad with chickpeas watercress and almonds",2016-02-16,"Cooking",0,0,0,0,0,11
"Artist or outlaw  the real Robert Mapplethorpe_2016-04-18_news.txt","Artist or outlaw  the real Robert Mapplethorpe_2016-04-18_news.txt",275,452,15,"Artist or outlaw  the real Robert Mapplethorpe",2016-04-18,"news",0,0,0,0,0,-2
"Artist's neon sign calls for understanding in New York  and around the world _2016-5-02_News.txt","Artist's neon sign calls for understanding in New York  and around the world _2016-5-02_News.txt",465,1051,63,"Artist's neon sign calls for understanding in New York  and around the world ",2016-05-02,"News",0,0,0,0,0,9
"As Coals Future Grows Murkier Banks Pull Financing_2016-03-21_News.txt","As Coals Future Grows Murkier Banks Pull Financing_2016-03-21_News.txt",530,1219,58,"As Coals Future Grows Murkier Banks Pull Financing",2016-03-21,"News",0,0,0,0,0,2
"As Democrats Look To General Election, Clinton Raises More Money Than Sanders _2016-5-02_News.txt","As Democrats Look To General Election, Clinton Raises More Money Than Sanders _2016-5-02_News.txt",208,418,22,"As Democrats Look To General Election, Clinton Raises More Money Than Sanders ",2016-05-02,"News",0,1,0,1,0,11
"As Drug Sentencing Debate Rages, 'Ridiculous' Sentences Persist - NBCNews.com _2016-5-02_News.txt","As Drug Sentencing Debate Rages, 'Ridiculous' Sentences Persist - NBCNews.com _2016-5-02_News.txt",800,1750,108,"As Drug Sentencing Debate Rages, 'Ridiculous' Sentences Persist - NBCNews.com ",2016-05-02,"News",0,0,0,0,0,-39
"As Factory Jobs Slip Away, Indiana Voters Have Trade On Their Minds _2016-5-02_News.txt","As Factory Jobs Slip Away, Indiana Voters Have Trade On Their Minds _2016-5-02_News.txt",354,683,32,"As Factory Jobs Slip Away, Indiana Voters Have Trade On Their Minds ",2016-05-02,"News",1,0,0,1,0,-12
"As Game of Thrones departs from the books, its also teaching us how to understand them _2016-5-03_News.txt","As Game of Thrones departs from the books, its also teaching us how to understand them _2016-5-03_News.txt",371,689,33,"As Game of Thrones departs from the books, its also teaching us how to understand them ",2016-05-03,"News",0,0,0,0,0,-15
"As he seeks a seat in Congress Anthony Brown says he wants to reveal more of himself this time_2016-03-21_Politics.txt","As he seeks a seat in Congress Anthony Brown says he wants to reveal more of himself this time_2016-03-21_Politics.txt",502,991,60,"As he seeks a seat in Congress Anthony Brown says he wants to reveal more of himself this time",2016-03-21,"Politics",0,0,0,0,0,-7
"As States Expand Gun Rights, the Police Object _2016-5-03_News.txt","As States Expand Gun Rights, the Police Object _2016-5-03_News.txt",447,964,39,"As States Expand Gun Rights, the Police Object ",2016-05-03,"News",0,0,0,0,0,-3
"As thousands enter Europe EU flails in anti-smuggling efforts_2016-02-25_News.txt","As thousands enter Europe EU flails in anti-smuggling efforts_2016-02-25_News.txt",278,537,28,"As thousands enter Europe EU flails in anti-smuggling efforts",2016-02-25,"News",0,0,0,0,0,0
"As thousands enter Europe, EU flails in anti-smuggling efforts _2016-2-25_News.txt","As thousands enter Europe, EU flails in anti-smuggling efforts _2016-2-25_News.txt",278,537,28,"As thousands enter Europe, EU flails in anti-smuggling efforts ",2016-02-25,"News",0,0,0,0,0,0
"As thousands enter Europe, EU flails in anti-smuggling efforts_2016-02-25_news.txt","As thousands enter Europe, EU flails in anti-smuggling efforts_2016-02-25_news.txt",278,537,28,"As thousands enter Europe, EU flails in anti-smuggling efforts",2016-02-25,"news",0,0,0,0,0,0
"As Trump Storms New York, His Party Remains Split_2016-04-17_Politics.txt","As Trump Storms New York, His Party Remains Split_2016-04-17_Politics.txt",56,66,3,"As Trump Storms New York, His Party Remains Split",2016-04-17,"Politics",1,0,0,0,0,2
"Asia Markets Fall After Oil Production Deal Collapses_2016-04-18_news.txt","Asia Markets Fall After Oil Production Deal Collapses_2016-04-18_news.txt",410,963,41,"Asia Markets Fall After Oil Production Deal Collapses",2016-04-18,"news",0,0,0,0,0,-7
"Asian shares drop, crude tumbles after Doha deal fails_2016-04-18_news.txt","Asian shares drop, crude tumbles after Doha deal fails_2016-04-18_news.txt",331,574,34,"Asian shares drop, crude tumbles after Doha deal fails",2016-04-18,"news",0,0,0,0,0,8
"At Food World 'Oscars,' Category Sneakily Redefines All-American Cuisine _2016-5-02_News.txt","At Food World 'Oscars,' Category Sneakily Redefines All-American Cuisine _2016-5-02_News.txt",396,814,38,"At Food World 'Oscars,' Category Sneakily Redefines All-American Cuisine ",2016-05-02,"News",0,0,0,0,0,29
"At the Met Gala, Minimalism Is a Relative Term _2016-5-03_News.txt","At the Met Gala, Minimalism Is a Relative Term _2016-5-03_News.txt",444,861,50,"At the Met Gala, Minimalism Is a Relative Term ",2016-05-03,"News",0,0,0,0,0,19
"Audio-Technicas valve headphone amp makes any pair of cans sound awesome_2016-03-21_Tech.txt","Audio-Technicas valve headphone amp makes any pair of cans sound awesome_2016-03-21_Tech.txt",512,1104,49,"Audio-Technicas valve headphone amp makes any pair of cans sound awesome",2016-03-21,"Tech",0,0,0,0,0,40
"Australia early election trigger debated_2016-04-18_news.txt","Australia early election trigger debated_2016-04-18_news.txt",321,686,33,"Australia early election trigger debated",2016-04-18,"news",0,0,0,0,0,-3
"Authorities  Slaying suspect later shot at family's car _2016-5-02_News.txt","Authorities  Slaying suspect later shot at family's car _2016-5-02_News.txt",275,547,34,"Authorities  Slaying suspect later shot at family's car ",2016-05-02,"News",0,0,0,0,0,-22
"Authorities  Woman dismembered in home, body parts dumped_2016-04-13_News.txt","Authorities  Woman dismembered in home, body parts dumped_2016-04-13_News.txt",18,18,3,"Authorities  Woman dismembered in home, body parts dumped",2016-04-13,"News",0,0,0,0,0,4
"Authorities believe missing Washington couple was killed_2016-04-18_news.txt","Authorities believe missing Washington couple was killed_2016-04-18_news.txt",352,754,31,"Authorities believe missing Washington couple was killed",2016-04-18,"news",0,0,0,0,0,-33
"Avocado Vanilla Smoothies._2016-03-17_Cooking.txt","Avocado Vanilla Smoothies._2016-03-17_Cooking.txt",267,525,57,"Avocado Vanilla Smoothies.",2016-03-17,"Cooking",0,0,0,0,0,34
"baby favorites  15 months._2016-03-03_Cooking.txt","baby favorites  15 months._2016-03-03_Cooking.txt",629,1729,158,"baby favorites  15 months.",2016-03-03,"Cooking",0,0,0,0,0,66
"Baby found alive four days after building collapsed in Nairobi _2016-5-03_News.txt","Baby found alive four days after building collapsed in Nairobi _2016-5-03_News.txt",215,367,19,"Baby found alive four days after building collapsed in Nairobi ",2016-05-03,"News",0,0,0,0,0,-13
"Baby saved after four days in rubble _2016-5-03_News.txt","Baby saved after four days in rubble _2016-5-03_News.txt",303,683,42,"Baby saved after four days in rubble ",2016-05-03,"News",0,0,0,0,0,-9
"Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again - Salon_2016-03-21_News.txt","Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again - Salon_2016-03-21_News.txt",347,665,27,"Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again - Salon",2016-03-21,"News",1,0,1,0,0,-17
"Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again_2016-03-21_News.txt","Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again_2016-03-21_News.txt",347,665,27,"Back off wingnuts  Fox News slimes Samantha Bee doesnt understand comedy again",2016-03-21,"News",1,0,1,0,0,-17
"Backlash over thin #A4waist challenge_2016-03-21_News.txt","Backlash over thin #A4waist challenge_2016-03-21_News.txt",149,255,20,"Backlash over thin #A4waist challenge",2016-03-21,"News",0,0,0,0,0,0
"Baking 101   How To Crack and Separate An Egg_2016-03-15_Cooking.txt","Baking 101   How To Crack and Separate An Egg_2016-03-15_Cooking.txt",254,683,48,"Baking 101   How To Crack and Separate An Egg",2016-03-15,"Cooking",0,0,0,0,0,17
"Baking 101   How To Fold In Egg Whites_2016-03-17_Cooking.txt","Baking 101   How To Fold In Egg Whites_2016-03-17_Cooking.txt",216,491,31,"Baking 101   How To Fold In Egg Whites",2016-03-17,"Cooking",0,0,0,0,0,12
"Banana Milk Chocolate Weekend Pancakes_2016-03-12_Cooking.txt","Banana Milk Chocolate Weekend Pancakes_2016-03-12_Cooking.txt",239,459,41,"Banana Milk Chocolate Weekend Pancakes",2016-03-12,"Cooking",0,0,0,0,0,19
"banana puddings with vanilla bean wafers_2016-01-28_Cooking.txt","banana puddings with vanilla bean wafers_2016-01-28_Cooking.txt",581,1267,91,"banana puddings with vanilla bean wafers",2016-01-28,"Cooking",0,0,0,0,0,35
"Band plays on, as global oil glut leaves supertankers in a huge jam_2016-04-13_News.txt","Band plays on, as global oil glut leaves supertankers in a huge jam_2016-04-13_News.txt",416,845,40,"Band plays on, as global oil glut leaves supertankers in a huge jam",2016-04-13,"News",0,0,0,0,0,-10
"Banned Waley-Cohen would miss National_2016-03-21_Sports.txt","Banned Waley-Cohen would miss National_2016-03-21_Sports.txt",218,456,24,"Banned Waley-Cohen would miss National",2016-03-21,"Sports",0,0,0,0,0,6
"Barack Obama nominates Merrick Garland to fill Antonin Scalias seat_2016-03-16_Politics.txt","Barack Obama nominates Merrick Garland to fill Antonin Scalias seat_2016-03-16_Politics.txt",369,719,28,"Barack Obama nominates Merrick Garland to fill Antonin Scalias seat",2016-03-16,"Politics",1,1,0,0,0,29
"Baseball  Chaminade Huntington Beach Mater Dei head to North Carolina this week_2016-03-21_News.txt","Baseball  Chaminade Huntington Beach Mater Dei head to North Carolina this week_2016-03-21_News.txt",108,149,13,"Baseball  Chaminade Huntington Beach Mater Dei head to North Carolina this week",2016-03-21,"News",0,0,0,0,0,10
"Basic travel information for visiting Mexico City_2016-03-21_News.txt","Basic travel information for visiting Mexico City_2016-03-21_News.txt",134,209,22,"Basic travel information for visiting Mexico City",2016-03-21,"News",0,0,0,0,0,11
"Basics  Eugenia Cheng Makes Math a Piece of Cake _2016-5-02_News.txt","Basics  Eugenia Cheng Makes Math a Piece of Cake _2016-5-02_News.txt",582,1312,75,"Basics  Eugenia Cheng Makes Math a Piece of Cake ",2016-05-02,"News",0,0,0,0,0,40
"BBC iPlayer opens to first partners for Shakespeare season_2016-04-17_news.txt","BBC iPlayer opens to first partners for Shakespeare season_2016-04-17_news.txt",161,263,11,"BBC iPlayer opens to first partners for Shakespeare season",2016-04-17,"news",0,0,0,0,0,11
"Beck Compares Cruz to Moses..._2016-04-13_News.txt","Beck Compares Cruz to Moses..._2016-04-13_News.txt",127,216,12,"Beck Compares Cruz to Moses...",2016-04-13,"News",0,0,1,0,0,9
"Bed bugs are getting tougher 'skin,' scientists warn_2016-04-15_news.txt","Bed bugs are getting tougher 'skin,' scientists warn_2016-04-15_news.txt",194,372,17,"Bed bugs are getting tougher 'skin,' scientists warn",2016-04-15,"news",0,0,0,0,0,-1
"Beet Raspberry and Vanilla Smoothie Bowl_2015-11-13_Cooking.txt","Beet Raspberry and Vanilla Smoothie Bowl_2015-11-13_Cooking.txt",456,949,88,"Beet Raspberry and Vanilla Smoothie Bowl",2015-11-13,"Cooking",0,0,0,0,0,41
"Before Invictus Games Begin, a Prince, Queen, President and Prime Minister Compete for Laughs _2016-5-03_News.txt","Before Invictus Games Begin, a Prince, Queen, President and Prime Minister Compete for Laughs _2016-5-03_News.txt",283,520,34,"Before Invictus Games Begin, a Prince, Queen, President and Prime Minister Compete for Laughs ",2016-05-03,"News",0,0,0,0,0,16
"Behind the music on Vinyl  This is why David Bowie cover bands are so rare_2016-03-21_News.txt","Behind the music on Vinyl  This is why David Bowie cover bands are so rare_2016-03-21_News.txt",329,681,28,"Behind the music on Vinyl  This is why David Bowie cover bands are so rare",2016-03-21,"News",0,0,0,0,0,-1
"Behind the Scenes of the Final Dancing With the Stars Rehearsals_2016-03-21_News.txt","Behind the Scenes of the Final Dancing With the Stars Rehearsals_2016-03-21_News.txt",208,330,22,"Behind the Scenes of the Final Dancing With the Stars Rehearsals",2016-03-21,"News",1,0,0,0,0,29
"Behind the Scenes with a Chopped Junior Champ_2016-01-06_Cooking.txt","Behind the Scenes with a Chopped Junior Champ_2016-01-06_Cooking.txt",340,870,61,"Behind the Scenes with a Chopped Junior Champ",2016-01-06,"Cooking",0,0,0,0,0,10
"Beijing Journal  Breathing Life Into Spaces Well Beyond 6 Feet Under Beijings Streets_2016-03-21_News.txt","Beijing Journal  Breathing Life Into Spaces Well Beyond 6 Feet Under Beijings Streets_2016-03-21_News.txt",473,1011,53,"Beijing Journal  Breathing Life Into Spaces Well Beyond 6 Feet Under Beijings Streets",2016-03-21,"News",0,0,0,0,0,18
"Beijing Warns of Historic Mistake if Loses Grip on New Media..._2016-03-21_News.txt","Beijing Warns of Historic Mistake if Loses Grip on New Media..._2016-03-21_News.txt",344,628,28,"Beijing Warns of Historic Mistake if Loses Grip on New Media...",2016-03-21,"News",0,0,0,0,0,2
"belgian brownie cakelets_2016-02-11_Cooking.txt","belgian brownie cakelets_2016-02-11_Cooking.txt",478,941,67,"belgian brownie cakelets",2016-02-11,"Cooking",0,0,0,0,0,11
"Belgian Police Identify Suspected Accomplice Of Salah Abdeslam_2016-03-21_News.txt","Belgian Police Identify Suspected Accomplice Of Salah Abdeslam_2016-03-21_News.txt",256,527,22,"Belgian Police Identify Suspected Accomplice Of Salah Abdeslam",2016-03-21,"News",0,0,0,0,0,-19
"Belgian Police Name Man Suspected of Being Salah Abdeslams Accomplice_2016-03-21_News.txt","Belgian Police Name Man Suspected of Being Salah Abdeslams Accomplice_2016-03-21_News.txt",314,648,32,"Belgian Police Name Man Suspected of Being Salah Abdeslams Accomplice",2016-03-21,"News",0,0,0,0,0,-14
"Ben   Jerrys  The Inside Scoop_2016-03-02_Cooking.txt","Ben   Jerrys  The Inside Scoop_2016-03-02_Cooking.txt",334,573,24,"Ben   Jerrys  The Inside Scoop",2016-03-02,"Cooking",0,0,0,0,0,33
"Ben Affleck confirmed to direct and star in solo Batman movie_2016-04-13_News.txt","Ben Affleck confirmed to direct and star in solo Batman movie_2016-04-13_News.txt",255,423,15,"Ben Affleck confirmed to direct and star in solo Batman movie",2016-04-13,"News",0,0,0,0,0,5
"Benin businessman takes strong lead in presidential election_2016-03-21_News.txt","Benin businessman takes strong lead in presidential election_2016-03-21_News.txt",225,354,17,"Benin businessman takes strong lead in presidential election",2016-03-21,"News",0,0,0,0,0,22
"Berck-sur-Mer kite festival 2016  in pictures_2016-04-13_News.txt","Berck-sur-Mer kite festival 2016  in pictures_2016-04-13_News.txt",33,37,3,"Berck-sur-Mer kite festival 2016  in pictures",2016-04-13,"News",0,0,0,0,0,3
"Bernie at the Vatican  Sanders lauds Pope Francis, highlights economic inequality and the plight of the poor in address to officials _2016-4-15_News.txt","Bernie at the Vatican  Sanders lauds Pope Francis, highlights economic inequality and the plight of the poor in address to officials _2016-4-15_News.txt",0,0,0,"Bernie at the Vatican  Sanders lauds Pope Francis, highlights economic inequality and the plight of the poor in address to officials ",2016-04-15,"News",0,0,0,0,0,0
"Bernie Is Speaking the Truth About Israel-Palestine_2016-04-15_Politics.txt","Bernie Is Speaking the Truth About Israel-Palestine_2016-04-15_Politics.txt",353,668,38,"Bernie Is Speaking the Truth About Israel-Palestine",2016-04-15,"Politics",0,1,0,1,0,11
"Bernie Sanders draws 'record' crowd in Prospect Park - CNN_2016-04-18_news.txt","Bernie Sanders draws 'record' crowd in Prospect Park - CNN_2016-04-18_news.txt",127,174,10,"Bernie Sanders draws 'record' crowd in Prospect Park - CNN",2016-04-18,"news",1,1,0,1,0,4
"Bernie Sanders Has Won Something Big, Even If Its Not the Nomination_2016-04-15_Politics.txt","Bernie Sanders Has Won Something Big, Even If Its Not the Nomination_2016-04-15_Politics.txt",392,725,32,"Bernie Sanders Has Won Something Big, Even If Its Not the Nomination",2016-04-15,"Politics",0,1,0,1,0,5
"Bernie Sanders Is Laying Off Hundreds of Campaign Staffers _2016-04-27_Politics.txt","Bernie Sanders Is Laying Off Hundreds of Campaign Staffers _2016-04-27_Politics.txt",105,163,7,"Bernie Sanders Is Laying Off Hundreds of Campaign Staffers ",2016-04-27,"Politics",0,1,0,1,0,1
"Bernie Sanders just became top Sunday show talker, overtaking Trump_2016-04-17_Politics.txt","Bernie Sanders just became top Sunday show talker, overtaking Trump_2016-04-17_Politics.txt",861,3367,164,"Bernie Sanders just became top Sunday show talker, overtaking Trump",2016-04-17,"Politics",1,1,1,1,1,41
"Bernie Sanders Just Met With Pope Francis to Discuss the Immorality of Unfettered Capitalism_2016-04-17_Politics.txt","Bernie Sanders Just Met With Pope Francis to Discuss the Immorality of Unfettered Capitalism_2016-04-17_Politics.txt",151,258,8,"Bernie Sanders Just Met With Pope Francis to Discuss the Immorality of Unfettered Capitalism",2016-04-17,"Politics",0,0,0,1,0,10
"Bernie Sanders stumbles on Senate's Saudi bil_2016-04-18_Politics.txt","Bernie Sanders stumbles on Senate's Saudi bil_2016-04-18_Politics.txt",326,688,28,"Bernie Sanders stumbles on Senate's Saudi bil",2016-04-18,"Politics",0,0,0,1,0,17
"Bernie Sanders's Fundraising Dropped in April _2016-05-01_Politics.txt","Bernie Sanders's Fundraising Dropped in April _2016-05-01_Politics.txt",53,70,4,"Bernie Sanders's Fundraising Dropped in April ",2016-05-01,"Politics",0,0,0,1,0,-1
